intent_id,role,intent_name,desc,utterence,entity
65,admin,admin_achivement_add,Admin Menambah Data Prestasi,Tolong buatkan entri prestasi untuk siswa.,[]
13,admin,admin_student_delete,Admin Menghapus Data Murid,Hapus data murid tersebut dari sistem sekarang.,[]
103,ortu,parents_settings,Wali Murid Redirect Halaman pengaturan,Coba tampilkan pengaturan umum.,[]
74,admin,admin_stud_achivements_add,Admin Menambah Data Prestasi Siswa,Tambah prestasi Toni Wirawan lomba robotik tanggal 23 Agustus 2024 di laboratorium.,"[""nama_murid"", ""nama_prestasi"", ""lokasi"", ""tanggal""]"
89,murid,student_chart_nilai,Murid  Melihat Data nilai Murid berdasarkan tahun ajaran,Tampilkan data nilai Andi Pratama untuk tahun ajaran 2023/2024.,"[""nama_murid"", ""tahun_ajaran""]"
19,admin,admin_parents_view,Admin Redirect ke Halaman Daftar Wali Murid,Tampilkan tabel daftar wali siswa.,[]
55,admin,admin_session_delete,Admin Menghapus Data Sesi,Hapus data sesi untuk tanggal 23 September 2024.,"[""tanggal""]"
46,admin,admin_class_schedule_update,Admin Mengubah Data Jadwal Kelas,Ganti jadwal pelajaran Bahasa Indonesia di kelas 12A.,"[""kelas"", ""mata_pelajaran""]"
23,admin,admin_parents_update,Admin Mengubah Data Wali Murid,"Tolong perbarui data orang tua murid Yuliana, anak dari Dewi Kartika, email yuliana.update@mail.com.","[""nama_wali_murid"", ""nama_murid(anak)"", ""email""]"
8,admin,admin_redirect_student_view,Admin Redirect ke Halaman Daftar Murid,Tolong tampilkan halaman daftar murid.,[]
77,admin,admin_stud_achivements_detail,Admin Melihat Detail Data Prestasi Siswa,Tampilkan data prestasi Putri Ayu lomba pidato tanggal 21 Agustus 2024.,"[""nama_murid"", ""nama_prestasi"", ""tanggal""]"
41,admin,admin_lesson_hour_add,Admin Menambah Data Jam Pelajaran,"Tambahkan jam ke-2 hari Selasa, jam 08:00–09:00, keterangan IPA.","[""hari"",""jam_ke"",""jam_mulai"",""jam_selesai"",""keterangan""]"
34,admin,admin_class_update,Admin Mengubah Data Kelas,"Saya ingin ubah kelas 9A, wali kelas Bu Nia, tahun ajaran 20231.","[""kode_ta"", ""nama_kelas"", ""nama_wali_kelas""]"
68,admin,admin_stud_violations_view,Admin Redirect ke Halaman Daftar Pelanggaran Siswa,Tampilkan rekap pelanggaran siswa.,[]
85,murid,student_chart_kehadiran,Murid Melihat Data kehadiran Murid berdasarkan tahun ajaran,Bisa tunjukin diagram absensi Dewi Anggraini tahun 2024/2025?,"[""nama_murid"", ""tahun_ajaran""]"
35,admin,admin_class_delete,Admin Menghapus Data Kelas,Hapus kelas 12B dengan kode 20242.,"[""kode_ta"", ""nama_kelas""]"
58,admin,admin_attendance_update,Admin Mengubah Data Kehadiran,Tolong ubah data kehadiran Rian Seto tanggal 5 September 2024 di kelas 8C jadi izin dengan alasan keluarga.,"[""nama_kelas"", ""status_kehadiran""]"
69,admin,admin_stud_violations_add,Admin Menambah Data Pelanggaran Siswa,Tambahkan satu data pelanggaran baru pada sistem,[]
64,admin,admin_achivement_view,Admin Redirect ke Halaman Daftar Prestasi,Arahkan saya ke halaman prestasi sekolah.,[]
103,ortu,parents_settings,Wali Murid Redirect Halaman pengaturan,Arahkan saya ke menu setting,[]
79,admin,admin_log_activity,Admin Melihat Log Aktivitas User,Tolong arahkan ke halaman log aktivitas admin,[]
60,admin,admin_violence_view,Admin Redirect ke Halaman Daftar Pelanggaran,Tampilkan daftar pelanggaran siswa yang tercatat di sistem.,[]
39,admin,admin_subject_delete,Admin Menghapus Data Mata Pelajaran,Hapus pelajaran Biologi dengan kode BIO02.,"[""kode_mapel"", ""nama_mapel""]"
47,admin,admin_class_schedule_delete,Admin Menghapus Data Jadwal Kelas,"Saya ingin menghapus jadwal Fisika di kelas 12C, hari Rabu, guru Pak Dedi, tahun ajaran 20241.","[""kelas"", ""tahun_ajaran"", ""hari"", ""mata_pelajaran"", ""guru_pengampu""]"
79,admin,admin_log_activity,Admin Melihat Log Aktivitas User,Admin ingin memeriksa aktivitas terbaru user,[]
49,admin,admin_score_add,Admin Menambah Data nilai,Admin mau input nilai 90 untuk pelajaran Fisika.,"[""nama_mapel"", ""nilai""]"
94,ortu,parents_student_violations,Wali Melihat Pelanggaran Murid ,Saya mau lihat catatan pelanggaran anak saya di bulan Mei.,"[""nama_murid"", ""tanggal_prestasi""]"
55,admin,admin_session_delete,Admin Menghapus Data Sesi,Hapus sesi kemarin ,[]
98,ortu,parents_student_grafik_kehadiran,Wali Melihat Data statistik kehadiran Murid berdasarkan tahun ajaran,Tolong tampilkan perbandingan presensi Arif Saputra untuk dua tahun ajaran terakhir,"[""nama_murid"", ""tahun_ajaran_awal"", ""tahun_ajaran_akhir""]"
109,guru,teacher_attendance_add,Guru Menambah Data Kehadiran Murid,Saya mau menambahkan data hadir murid.,[]
50,admin,admin_score_update,Admin Mengubah Data nilai,Admin mau memperbarui nilai 78 menjadi 90 untuk siswa Nia pada pelajaran IPA.,"[""nama_murid"", ""nama_mapel"", ""nilai""]"
22,admin,admin_redirect_parents_edit,Admin Redirect ke halaman Edit Wali Murid,Coba tampilkan halaman untuk mengubah data wali.,[]
84,murid,student_attendants_view,Murid Redirect Halaman Kehadiran,Tunjukkan halaman yang berisi data kehadiran aku.,[]
107,guru,teacher_score_delete,Guru Menghapus Data nilai,Saya mau hapus data nilai siswa Nadia Putri.,"[""nama_murid""]"
105,guru,teacher_score_add,Guru Menambah Data nilai,Saya ingin menambah nilai murid Fajar Pratama Fisika 88.,"[""nama_murid"", ""nama_mapel"", ""nilai""]"
104,guru,teacher_score_view,Guru Redirect ke Halaman kelola nilai,Saya mau buka menu pengelolaan nilai siswa,[]
32,admin,admin_class_view,Admin Redirect ke Halaman Daftar Kelas,Buka menu daftar kelas di sistem,[]
55,admin,admin_session_delete,Admin Menghapus Data Sesi,Tolong hapus sesi hari Selasa tanggal 14 Agustus 2024.,"[""tanggal"", ""hari""]"
88,murid,student_scores_view,Murid Redirect Halaman Nilai,Redirect aku ke bagian nilai.,[]
87,murid,student_cek_kehadiran,Murid  Melihat Data kehadiran Murid berdasarkan tanggal,Tampilkan data absensi aku kemarin,"[""nama_murid""]"
37,admin,admin_subject_add,Admin Menambah Data Mata Pelajaran,Tambahkan pelajaran Biologi dengan kode BIO02.,"[""kode_mapel"", ""nama_mapel""]"
28,admin,admin_academic_year_add,Admin Menambah Data Tahun Ajaran ,"Saya ingin menambah tahun ajaran 2024/2025 untuk semester genap, kodenya 20242.","[""tahun_mulai"", ""tahun_selesai"", ""kode_ta""]"
58,admin,admin_attendance_update,Admin Mengubah Data Kehadiran,Update kehadiran untuk kelas 10A jadi hadir.,"[""nama_murid"", ""nama_kelas"", ""tanggal"", ""status_kehadiran"", ""keterangan""]"
84,murid,student_attendants_view,Murid Redirect Halaman Kehadiran,Tolong arahkan ke halaman kehadiran,[]
114,guru,teacher_settings,Guru Wali Murid Redirect Halaman Settings,Tolong tampilkan halaman konfigurasi akun,[]
19,admin,admin_parents_view,Admin Redirect ke Halaman Daftar Wali Murid,Buka data wali murid.,[]
44,admin,admin_class_schedule_view,Admin Redirect ke Halaman Daftar Jadwal Kelas,Admin ingin mengakses halaman jadwal kelas.,[]
73,admin,admin_stud_achivements_view,Admin Redirect ke Halaman Daftar Prestasi Siswa,Tolong arahkan ke menu data prestasi siswa.,[]
20,admin,admin_redirect_parents_create,Admin Redirect ke halaman Create Wali Murid,Coba tampilkan form pembuatan wali baru.,[]
44,admin,admin_class_schedule_view,Admin Redirect ke Halaman Daftar Jadwal Kelas,Admin ingin membuka menu jadwal kelas.,[]
22,admin,admin_redirect_parents_edit,Admin Redirect ke halaman Edit Wali Murid,Tampilkan halaman untuk mengubah wali siswa.,[]
28,admin,admin_academic_year_add,Admin Menambah Data Tahun Ajaran ,"Tolong buat tahun ajaran baru mulai 2025 sampai 2026, kode 20251.","[""tahun_mulai"", ""tahun_selesai"", ""kode_ta""]"
74,admin,admin_stud_achivements_add,Admin Menambah Data Prestasi Siswa,Saya ingin menambah prestasi Oki Prasetyo di lomba desain poster tanggal 20 Agustus 2024.,"[""nama_murid"", ""nama_prestasi"", ""tanggal""]"
52,admin,admin_session_view,Admin Redirect ke Halaman Daftar Sesi,Tampilkan halaman sesi aktif.,[]
46,admin,admin_class_schedule_update,Admin Mengubah Data Jadwal Kelas,Tolong ubah jadwal kelas 10D untuk pelajaran Matematika.,"[""kelas"", ""mata_pelajaran""]"
56,admin,admin_attendance_view,Admin Redirect ke Halaman Daftar Kehadiran,Buka daftar absensi seluruh murid.,[]
13,admin,admin_student_delete,Admin Menghapus Data Murid,Hapus murid Farhan Nugraha untuk tahun ajaran 2023/2024.,"[""nama_murid"" ""tahun_ajaran""]"
