intent_id,role,intent_name,desc,utterence,entity
6,guru,teacher_view_student_details,Guru melihat detail murid,"Kak, cekin murid Karin Widya tahun ajaran 2021/2022 NISN 006784321 kelas 9A ya","[""nama_murid"", ""tahun_ajaran"", ""nisn"", ""kelas""]"
4,murid,student_chart_kehadiran,Murid Melihat Data kehadiran Murid berdasarkan tahun ajaran,data kehadiran ak nama Rangga Pratama di thn ajaran 2022/2023,"[""nama_murid"", ""tahun_ajaran""]"
2,admin,admin_student_cek_kehadiran,Admin Melihat Data kehadiran Murid berdasarkan tanggal,Taufik Hidayat 05/12/2024 absen gak?,"[""nama_murid"",""tanggal""]"
2,admin,admin_student_cek_kehadiran,Admin Melihat Data kehadiran Murid berdasarkan tanggal,"Pak, tolong upload status kehadiran Andi Nugroho tgl 25 Desember 2024.","[""nama_murid"",""tanggal""]"
10,murid,student_scores_view,Murid Redirect Halaman Nilai,"Min, aku mau cek nilai satu-satu, bisa bukain halamannya?",[]
16,admin,admin_settings,Admin Melihat pengaturan Admin,"Kak, aku mau akses pengaturan notifikasi email.",[]
16,admin,admin_settings,Admin Melihat pengaturan Admin,Avmin pengaturan,[]
3,murid,student_chart_nilai,Murid  Melihat Data nilai Murid berdasarkan tahun ajaran,"Kak, mau cek nilai Arya buat tahun ajaran 2018/2019.","[""nama_murid"", ""tahun_ajaran""]"
5,ortu,parents_student_chart_nilai,Wali Melihat Data nilai Murid berdasarkan tahun ajaran,Tampilin nilai Tria 2022/2023 min,"[""nama_murid"", ""tahun_ajaran""]"
7,admin,admin_redirect_home,Admin redirect ke halaman dashboard admin,"Kak, saya butuh masuk ke dashboard admin lagi.",[]
6,guru,teacher_view_student_details,Guru melihat detail murid,Saya memerlukan akses informasi murid bernama Febri Andika pada tahun ajaran 2023/2024 dengan NISN 009123876 dan kelas 8A,"[""nama_murid"", ""tahun_ajaran"", ""nisn"", ""kelas""]"
16,admin,admin_settings,Admin Melihat pengaturan Admin,Admni setelan buka,[]
10,murid,student_scores_view,Murid Redirect Halaman Nilai,"Pak, tlng aksses ke nilai.",[]
16,admin,admin_settings,Admin Melihat pengaturan Admin,gmn cara setel integrasi lms?,[]
6,guru,teacher_view_student_details,Guru melihat detail murid,Pak tlg tamplin Rikka Lstarti thn 22/23 nisn 004562198 kls 7B,"[""nama_murid"", ""tahun_ajaran"", ""nisn"", ""kelas""]"
1,admin,admin_student_chart_nilai,Admin Melihat Data nilai Murid berdasarkan tahun ajaran,Grafik thn 2023/2024 utk siswa bernama Sisca.,"[""nama_murid"", ""tahun_ajaran""]"
1,admin,admin_student_chart_nilai,Admin Melihat Data nilai Murid berdasarkan tahun ajaran,"Pak, boleh minta grafik perkembangan nilai siswa bernama Mahesa untuk TA 2022/2023?","[""nama_murid"", ""tahun_ajaran""]"
10,murid,student_scores_view,Murid Redirect Halaman Nilai,Tolong arahkan saya ke bagian informasi nilai.,[]
4,murid,student_chart_kehadiran,Murid Melihat Data kehadiran Murid berdasarkan tahun ajaran,tampil kehadiran Alvin Mardika tahun ajaran 2021/2022 dong,"[""nama_murid"", ""tahun_ajaran""]"
14,murid,student_achivement,Murid Melihat Prestasi,Saya ingin mengetahui prestasi Reno yang diraih di Ruang Utama pada tanggal 5 Oktober 2023 untuk Penghargaan Kreativitas.,"[""nama_murid"",""lokasi"",""tanggal_prestasi"",""nama_prestasi""]"
14,murid,student_achivement,Murid Melihat Prestasi,armn prestsi d gdg C 12/9/24 juara ipa,"[""nama_murid"",""lokasi"",""tanggal_prestasi"",""nama_prestasi""]"
5,ortu,parents_student_chart_nilai,Wali Melihat Data nilai Murid berdasarkan tahun ajaran,Liat grafk nile Rizky ajaran 2023/2024,"[""nama_murid"", ""tahun_ajaran""]"
16,admin,admin_settings,Admin Melihat pengaturan Admin,"Kak, bisa buka pengaturan role dan permission?",[]
4,murid,student_chart_kehadiran,Murid Melihat Data kehadiran Murid berdasarkan tahun ajaran,data kehadiran sy Prita Mulyani thn ajaran 2023/2024,"[""nama_murid"", ""tahun_ajaran""]"
1,admin,admin_student_chart_nilai,Admin Melihat Data nilai Murid berdasarkan tahun ajaran,"Min, saya perlu lihat visualisasi nilai Lintang tahun ajaran sekarang.","[""nama_murid"", ""tahun_ajaran""]"
14,murid,student_achivement,Murid Melihat Prestasi,"Min, minta tampilkan prestasi Dimas di Aula Selatan tanggal 1 Februari 2024, Medali Perunggu Fisika.","[""nama_murid"",""lokasi"",""tanggal_prestasi"",""nama_prestasi""]"
10,murid,student_scores_view,Murid Redirect Halaman Nilai,"Kk, tlg bukain nilai aku.",[]
15,admin,admin_log_activity,Admin Melihat Log Aktivitas User,"Min, mau ngecek aktvts usr nih.",[]
4,murid,student_chart_kehadiran,Murid Melihat Data kehadiran Murid berdasarkan tahun ajaran,"Min, butuh data kehadiran Tiara Kusuma tahun ajaran 2023/2024 buat laporan.","[""nama_murid"", ""tahun_ajaran""]"
8,admin,admin_redirect_student_view,Admin Redirect ke Halaman Daftar Murid,Mohon tampilkan halaman yang berisi data siswa,[]
1,admin,admin_student_chart_nilai,Admin Melihat Data nilai Murid berdasarkan tahun ajaran,Liat grafik perkembangan nilai Xaverius thn 2023/2024.,"[""nama_murid"", ""tahun_ajaran""]"
3,murid,student_chart_nilai,Murid  Melihat Data nilai Murid berdasarkan tahun ajaran,Nia nly 2021/2022 liat.,"[""nama_murid"", ""tahun_ajaran""]"
10,murid,student_scores_view,Murid Redirect Halaman Nilai,Arahkn ke nilya dong.,[]
16,admin,admin_settings,Admin Melihat pengaturan Admin,"Pak, tolong tampilkan log aktivitas admin ya.",[]
5,ortu,parents_student_chart_nilai,Wali Melihat Data nilai Murid berdasarkan tahun ajaran,Berikan report chart nilai Dimas Airlangga yang terdaftar di tahun ajaran 2020/2021,"[""nama_murid"", ""tahun_ajaran""]"
11,murid,student_attendants_view,Murid Redirect Halaman Kehadiran,Bukain hlmn absen,[]
4,murid,student_chart_kehadiran,Murid Melihat Data kehadiran Murid berdasarkan tahun ajaran,"Kak, boleh liat kehadiran Ayu Lestari di tahun ajaran 2023/2024?","[""nama_murid"", ""tahun_ajaran""]"
7,admin,admin_redirect_home,Admin redirect ke halaman dashboard admin,Saya ingin berpindah ke halaman pusat kendali admin.,[]
4,murid,student_chart_kehadiran,Murid Melihat Data kehadiran Murid berdasarkan tahun ajaran,chart kehadiran Putri Salsa di tahun ajaran 2024/2025 gmn cranya,"[""nama_murid"", ""tahun_ajaran""]"
2,admin,admin_student_cek_kehadiran,Admin Melihat Data kehadiran Murid berdasarkan tanggal,Rika Amelia tgl16/04/2025 absen cek.,"[""nama_murid"",""tanggal""]"
7,admin,admin_redirect_home,Admin redirect ke halaman dashboard admin,"Kak, aku mau buka ulang dashboard admin.",[]
8,admin,admin_redirect_student_view,Admin Redirect ke Halaman Daftar Murid,Saya ingin melihat daftar seluruh siswa yang terdaftar di sistem,[]
15,admin,admin_log_activity,Admin Melihat Log Aktivitas User,Saya ingin memeriksa jejak aktivitas pengguna secara rinci.,[]
1,admin,admin_student_chart_nilai,Admin Melihat Data nilai Murid berdasarkan tahun ajaran,"Bu, boleh minta tolong lihat diagram nilai Dinda tahun kemarin?","[""nama_murid"", ""tahun_ajaran""]"
16,admin,admin_settings,Admin Melihat pengaturan Admin,"Bu, cek pengaturan notifikasi untuk admin dong.",[]
1,admin,admin_student_chart_nilai,Admin Melihat Data nilai Murid berdasarkan tahun ajaran,"Kak, tampilkan dong grafik nilai siswa yang namanya Ojan tahun ini.","[""nama_murid"", ""tahun_ajaran""]"
6,guru,teacher_view_student_details,Guru melihat detail murid,Bu cek Rino Saputra thn 22/23 nisn 002198765 kls 7C,"[""nama_murid"", ""tahun_ajaran"", ""nisn"", ""kelas""]"
1,admin,admin_student_chart_nilai,Admin Melihat Data nilai Murid berdasarkan tahun ajaran,Lihat nilai Rio semester genap tahun ajaran 2023,"[""nama_murid"", ""tahun_ajaran""]"
6,guru,teacher_view_student_details,Guru melihat detail murid,Mohon disajikan data murid bernama Gilang Setiawan pada tahun ajaran 2021/2022 dengan NISN 005678912 di kelas 9B,"[""nama_murid"", ""tahun_ajaran"", ""nisn"", ""kelas""]"
12,guru,teacher_schedule_view,Guru Redirect ke Halaman Jadwal Guru,Jaduwal gurru pliss.,[]
